address,total_received,total_sent,balance,n_tx,avg_no_addr,common_preference,max_fees,max_lock_time,avg_vin_sz,avg_vout_sz,rbf_count,avg_timestmp_interval,status
1A2BsswHPrE2RvUusSQY4w53P1WjuUdpbN,23747535,23747535,0,11,10,medium,295953,669891,4,8,12,527292.0,illegal
12AtSFXJmUURAbUpZ95yJ3B8vgkHW4YywS,37016220,37016220,0,65,23,low,779277,689304,5,18,0,9575967.0,illegal
12FZ7VVaawZbRPhWwAwpiymT6YF4zYDeB6,78616,78616,0,2,14,low,94111,660538,2,11,0,141557.0,illegal
12KXr1HKeqHprejJmUNqXx37mimdM5xCBP,15225979,15225979,0,3,4,medium,34125,648996,2,2,0,33290.0,illegal
12MU1jGQHXcpsxXDLLZfDtEhuu2wWxGXP7,1913963,1913963,0,2,11,low,285079,0,1,10,0,533.0,illegal
12WZTrsALH95CW1mq5hxbvwrbDFjZvw3rQ,396272973,396272973,0,25,16,medium,395700,661619,2,14,2,3912128.0,illegal
12kyQigYggVyLvuWeKVLZNduR4WcrTRTny,25361767,25361767,0,33,16,low,554936,663579,2,14,1,5118657.0,illegal
12qyWVJL65VaKiUx1DFbCYckQcowXHGWs4,22124122,22124122,0,8,5,high,103734,654652,1,4,1,433091.0,illegal
12r8QFKrGD1pX7ozxi16bnQq58NFdLzUpF,22511878,22511878,0,5,34,low,592398,663628,11,23,3,909331.0,illegal
12sfL7NJdUhYpYWdrdgaW8bxPBaC4yZ1kv,302797,302797,0,2,130,low,103417,661265,117,22,0,2496.0,illegal
12wEKonfdbwqmXE42J6tyiR5hYvN1jhw7C,398979114,398979114,0,18,3,low,34216,647686,1,1,0,290530.0,illegal
13LqXbpJ2863xSC1PSdr3KnZG5ETLPE7gD,1159963,1159963,0,2,22,high,235446,0,1,21,0,871.0,illegal
13NE99f6MfwJ4FNgEvQfJUCChGRGE6jYfZ,18364940,18364940,0,8,6,high,285261,660922,5,5,8,648193.0,illegal
13TjykMSqWFvjcyf3R6PjbMRGPHWgnnKCM,2917401796,2917401796,0,70,8,high,1981962,657564,23,1,0,1637739.0,illegal
13eQC8tk8pCrkASSDyEqWvZoQQEour4XYL,50342539,50342539,0,752,8,low,291840,817745,1,8,17,7022931.0,illegal
13rbgQGNe23aznVnVtBZ5Fhx3xVfm69afA,44303466,44303466,0,4,22,high,406101,0,4,18,0,118706.0,illegal
13tuLrcKdSsQBuSqKMvkaZ2kuuvQZTKD92,3868319,3868319,0,5,13,medium,166913,0,1,12,0,80391.0,illegal
13wuHSnNoUgMctywMJpmGFi16mQKQMCdr9,774220,774220,0,2,50,medium,280670,0,1,49,0,2578.0,illegal
146kf6tkqRuGgRaMjfgHWthKwEJXDANH6q,3822052,3822052,0,2,10,high,79969,0,2,8,0,58488.0,illegal
14F5H6zgQq39njYJWPLWznsEpJSTtUWAHk,17501104,17501104,0,6,23,high,354428,661312,6,18,5,1915036.0,illegal
14FRKfqi7tFwgdGjUzg3ZoLaYHr8U44byw,1894244033,1893784594,459439,358,2,medium,30000,0,1,2,0,2645341.0,illegal
14MqefrM5WMe526Dpe1frodSRjD2Kn9hTH,5046294,5046294,0,2,11,high,388863,661729,7,4,1,1252139.0,illegal
14MrY6xBYKVJ9PrShT5xtvmXvbJkZNwy4Y,5616848,5616848,0,3,10,medium,137620,665610,7,5,4,625657.0,illegal
14X4HmqJKQWCrNY9gthXVyPRa6KZhEkkmT,23122250,23122250,0,8,11,high,277365,659362,10,6,12,442651.0,illegal
14XxAwNveHWVYm124ZM73K5WGNXFJBC1Ab,2374001,2374001,0,4,2,low,19270,0,1,1,0,6184332.0,illegal
14kRiBcGUEso5Fq8hxhh3zHro7WPNrku7f,318733010,317251364,1481646,1595,94,low,44664,0,100,1,0,110618.0,illegal
14z8PbPKmJMdGPRSVr2u7hHhFemThCK3Rk,1020718,1020718,0,2,4,low,104251,0,1,3,0,626.0,illegal
153RTH96CEYRoAzotthNYAyxK8KssMBmoB,1485485603,1469770441,15715162,88,4,low,733000,637371,20,3,2,11135406.0,illegal
155fLAbh1xJdDWyMz3qAHCnQz7CWi5QV3N,3848042203,3848042203,0,737,32,low,304500,695467,3,29,3,2290457.0,illegal
